purchase_id,customer_id,product_id,purchase_date,quantity,total_amount,payment_id,sales_channel
70,786,21,2025-04-17,1,28.99,70,Online
71,973,23,2025-05-01,3,29.88,71,In-store
72,277,10,2025-05-01,5,36.7,72,Online
73,511,13,2025-05-12,2,5.64,73,Online
74,594,20,2025-05-07,1,30.73,74,Online
75,32,3,2025-05-17,3,37.38,75,Online
76,553,5,2025-03-19,3,12.66,76,In-store
77,265,6,2025-03-30,1,24.91,77,In-store
78,444,3,2025-04-30,1,12.46,78,Online
79,605,2,2025-05-14,2,62.2,79,In-store
80,70,1,2025-04-06,1,2.5,80,In-store
81,325,11,2025-04-06,3,46.2,81,Online
82,652,8,2025-04-14,1,36.19,82,Online
83,693,0,2025-03-25,1,9.68,83,Online
84,839,6,2025-04-24,2,49.82,84,Online
85,661,9,2025-03-18,1,32.37,85,Online
86,736,16,2025-03-24,3,60.96,86,Online
87,821,23,2025-04-23,4,39.84,87,Online
88,863,8,2025-05-05,3,108.57,88,Online
89,43,7,2025-04-09,1,25.61,89,In-store
90,952,5,2025-03-21,2,8.44,90,Online
91,361,10,2025-04-30,2,14.68,91,In-store
92,688,25,2025-04-01,1,17.0,92,In-store
93,667,15,2025-03-28,1,47.78,93,In-store
94,442,14,2025-03-31,1,19.56,94,Online
95,922,10,2025-04-23,3,22.02,95,In-store
96,176,19,2025-03-24,5,9.9,96,In-store
97,329,19,2025-05-08,3,5.94,97,Online
98,916,10,2025-05-07,5,36.7,98,In-store
99,676,8,2025-04-03,4,144.76,99,Online
100,313,12,2025-04-28,5,73.15,100,In-store
101,763,7,2025-03-27,4,102.44,101,In-store
102,791,23,2025-03-26,1,9.96,102,In-store
103,481,19,2025-05-14,5,9.9,103,Online
104,703,0,2025-03-21,2,19.36,104,Online
105,518,5,2025-04-27,5,21.1,105,Online
106,269,17,2025-05-12,3,6.6,106,Online
107,726,2,2025-04-12,2,62.2,107,Online
108,569,18,2025-04-16,4,37.84,108,Online
109,590,2,2025-05-01,1,31.1,109,In-store
110,764,10,2025-05-07,4,29.36,110,In-store
111,445,16,2025-03-28,4,81.28,111,Online
112,992,16,2025-04-26,2,40.64,112,In-store
113,235,24,2025-04-01,2,35.9,113,Online
114,975,15,2025-05-04,2,95.56,114,Online
115,483,10,2025-03-29,1,7.34,115,Online
116,903,10,2025-05-16,5,36.7,116,In-store
117,600,1,2025-04-09,3,7.5,117,Online
118,337,15,2025-03-20,2,95.56,118,Online
119,1,22,2025-04-12,3,49.86,119,In-store
120,672,0,2025-03-30,1,9.68,120,Online
121,310,1,2025-05-05,1,2.5,121,In-store
122,50,20,2025-04-10,1,30.73,122,In-store
123,651,13,2025-03-19,1,2.82,123,Online
124,487,2,2025-04-24,3,93.3,124,Online
125,682,18,2025-03-23,2,18.92,125,Online
126,518,22,2025-04-02,2,33.24,126,In-store
127,516,12,2025-05-16,5,73.15,127,In-store
128,301,11,2025-04-03,3,46.2,128,In-store
129,870,12,2025-04-13,4,58.52,129,Online
130,971,9,2025-04-09,1,32.37,130,In-store
131,577,9,2025-05-12,4,129.48,131,Online
132,592,2,2025-03-27,1,31.1,132,Online
133,866,1,2025-05-12,5,12.5,133,Online
134,747,17,2025-05-03,1,2.2,134,In-store
135,514,17,2025-05-05,4,8.8,135,Online
136,758,17,2025-05-11,5,11.0,136,In-store
137,188,17,2025-05-15,4,8.8,137,In-store
138,285,23,2025-03-26,1,9.96,138,In-store
139,497,21,2025-04-19,4,115.96,139,Online
140,636,6,2025-04-01,2,49.82,140,In-store
141,910,24,2025-05-11,3,53.85,141,Online
142,868,11,2025-04-04,2,30.8,142,In-store
143,346,7,2025-04-18,3,76.83,143,In-store
144,643,19,2025-03-24,2,3.96,144,In-store
145,823,20,2025-05-02,2,61.46,145,In-store
146,304,0,2025-04-25,4,38.72,146,In-store
147,562,9,2025-04-29,4,129.48,147,In-store
148,588,20,2025-04-02,4,122.92,148,Online
149,701,17,2025-03-19,2,4.4,149,Online
150,242,12,2025-05-02,2,29.26,150,In-store
151,465,7,2025-05-07,1,25.61,151,Online
152,535,19,2025-05-01,2,3.96,152,Online
153,272,24,2025-04-05,4,71.8,153,Online
154,285,4,2025-05-13,1,12.08,154,Online
155,205,7,2025-05-05,1,25.61,155,Online
156,953,23,2025-05-15,4,39.84,156,In-store
157,279,18,2025-04-08,4,37.84,157,Online
158,617,14,2025-04-11,5,97.8,158,Online
159,813,24,2025-05-07,4,71.8,159,In-store
160,709,10,2025-04-16,2,14.68,160,In-store
161,591,11,2025-04-21,5,77.0,161,Online
162,336,2,2025-04-19,3,93.3,162,In-store
163,382,21,2025-04-14,4,115.96,163,Online
164,713,11,2025-04-09,1,15.4,164,Online
165,53,6,2025-03-25,3,74.73,165,Online
166,199,19,2025-05-02,5,9.9,166,In-store
167,899,25,2025-04-14,1,17.0,167,Online
168,274,0,2025-03-21,3,29.04,168,In-store
169,355,23,2025-05-06,5,49.8,169,In-store
170,415,9,2025-04-05,2,64.74,170,In-store
171,627,18,2025-05-09,3,28.38,171,In-store
172,292,25,2025-04-12,4,68.0,172,Online
173,434,24,2025-04-10,4,71.8,173,Online
174,397,8,2025-04-08,2,72.38,174,Online
175,186,9,2025-04-09,2,64.74,175,Online
176,797,19,2025-04-22,3,5.94,176,In-store
177,522,6,2025-04-11,1,24.91,177,Online
178,126,23,2025-05-02,4,39.84,178,Online
179,627,8,2025-03-29,3,108.57,179,In-store
180,820,9,2025-04-02,5,161.85,180,Online
181,985,19,2025-04-18,2,3.96,181,Online
182,944,1,2025-04-22,3,7.5,182,In-store
183,573,12,2025-04-17,4,58.52,183,Online
184,195,16,2025-03-22,5,101.6,184,In-store
185,412,9,2025-04-03,3,97.11,185,Online
186,833,6,2025-03-29,4,99.64,186,In-store
187,997,10,2025-03-28,5,36.7,187,In-store
188,861,15,2025-03-25,4,191.12,188,Online
189,795,12,2025-04-10,1,14.63,189,In-store
190,8,11,2025-04-13,5,77.0,190,Online
191,336,15,2025-03-31,4,191.12,191,In-store
192,988,11,2025-04-18,2,30.8,192,In-store
193,603,4,2025-05-10,4,48.32,193,Online
194,677,4,2025-04-29,2,24.16,194,In-store
195,230,15,2025-05-13,2,95.56,195,Online
196,500,11,2025-05-08,5,77.0,196,Online
197,475,21,2025-03-24,3,86.97,197,Online
198,836,14,2025-03-28,4,78.24,198,Online
199,280,18,2025-05-07,3,28.38,199,In-store
200,845,15,2025-04-11,3,143.34,200,Online
201,969,3,2025-04-02,4,49.84,201,In-store
202,607,22,2025-04-09,5,83.1,202,In-store
203,523,15,2025-03-20,3,143.34,203,In-store
204,272,6,2025-04-30,1,24.91,204,In-store
205,621,12,2025-04-18,5,73.15,205,In-store
206,18,10,2025-04-14,1,7.34,206,Online
207,980,10,2025-05-14,1,7.34,207,Online
208,675,0,2025-05-08,5,48.4,208,Online
209,218,7,2025-03-21,5,128.05,209,In-store
210,677,6,2025-04-07,4,99.64,210,In-store
211,646,8,2025-04-09,4,144.76,211,Online
212,93,25,2025-04-19,4,68.0,212,In-store
213,518,8,2025-05-15,1,36.19,213,Online
214,61,4,2025-04-02,4,48.32,214,Online
215,433,21,2025-04-12,2,57.98,215,Online
216,322,8,2025-04-17,5,180.95,216,Online
217,411,21,2025-04-06,4,115.96,217,Online
218,115,14,2025-03-29,3,58.68,218,In-store
219,342,16,2025-04-15,3,60.96,219,Online
220,234,7,2025-03-24,1,25.61,220,In-store
221,917,0,2025-04-21,2,19.36,221,Online
222,256,16,2025-04-24,2,40.64,222,Online
223,232,19,2025-04-11,2,3.96,223,Online
224,887,17,2025-05-01,5,11.0,224,Online
225,830,25,2025-05-15,3,51.0,225,In-store
226,7,5,2025-04-22,1,4.22,226,In-store
227,983,8,2025-04-13,3,108.57,227,In-store
228,448,16,2025-05-04,1,20.32,228,Online
229,954,12,2025-04-12,2,29.26,229,In-store
230,823,3,2025-05-02,5,62.3,230,Online
231,176,11,2025-05-02,2,30.8,231,Online
232,745,23,2025-04-30,5,49.8,232,Online
233,142,21,2025-04-07,4,115.96,233,Online
234,427,15,2025-04-03,5,238.9,234,In-store
235,397,3,2025-03-26,1,12.46,235,Online
236,326,22,2025-05-02,2,33.24,236,Online
237,441,3,2025-04-10,1,12.46,237,In-store
238,782,5,2025-03-29,1,4.22,238,In-store
239,731,7,2025-05-15,3,76.83,239,Online
240,906,8,2025-05-02,1,36.19,240,In-store
241,252,14,2025-05-15,1,19.56,241,Online
242,438,5,2025-05-11,4,16.88,242,In-store
243,89,19,2025-03-31,1,1.98,243,Online
244,766,15,2025-04-16,1,47.78,244,In-store
245,184,23,2025-04-13,1,9.96,245,In-store
246,823,2,2025-04-07,2,62.2,246,Online
247,889,24,2025-04-10,1,17.95,247,Online
248,727,0,2025-05-02,2,19.36,248,Online
249,673,3,2025-05-04,4,49.84,249,In-store
250,766,22,2025-05-08,1,16.62,250,In-store
251,654,10,2025-05-07,1,7.34,251,In-store
252,978,16,2025-03-29,2,40.64,252,In-store
253,237,22,2025-04-14,3,49.86,253,In-store
254,64,20,2025-05-12,1,30.73,254,In-store
255,202,23,2025-03-29,1,9.96,255,Online
256,25,25,2025-03-22,2,34.0,256,Online
257,979,25,2025-04-30,5,85.0,257,In-store
258,511,16,2025-04-30,3,60.96,258,Online
259,525,17,2025-04-20,2,4.4,259,In-store
260,157,5,2025-04-26,2,8.44,260,In-store
261,137,24,2025-03-19,1,17.95,261,In-store
262,171,1,2025-03-23,5,12.5,262,Online
263,13,20,2025-03-30,3,92.19,263,In-store
264,949,24,2025-05-11,4,71.8,264,Online
265,284,9,2025-03-21,3,97.11,265,Online
266,705,17,2025-03-21,5,11.0,266,Online
267,976,23,2025-03-28,2,19.92,267,Online
268,998,16,2025-04-01,2,40.64,268,In-store
269,456,11,2025-04-16,1,15.4,269,Online
270,790,13,2025-04-19,3,8.46,270,In-store
271,718,4,2025-04-02,4,48.32,271,Online
272,157,9,2025-05-04,4,129.48,272,Online
273,121,15,2025-04-04,3,143.34,273,In-store
274,850,10,2025-04-15,5,36.7,274,In-store
275,845,7,2025-04-17,1,25.61,275,Online
276,441,19,2025-03-27,4,7.92,276,Online
277,290,3,2025-03-24,2,24.92,277,Online
278,942,4,2025-05-12,2,24.16,278,Online
279,454,12,2025-04-07,2,29.26,279,Online
280,625,1,2025-04-07,2,5.0,280,In-store
281,363,3,2025-05-14,5,62.3,281,In-store
282,379,14,2025-04-15,4,78.24,282,In-store
283,148,7,2025-03-20,3,76.83,283,In-store
284,844,16,2025-04-22,4,81.28,284,Online
285,87,19,2025-04-26,4,7.92,285,In-store
286,472,1,2025-04-26,2,5.0,286,In-store
287,922,8,2025-04-29,1,36.19,287,Online
288,874,15,2025-03-18,4,191.12,288,Online
289,899,8,2025-04-06,4,144.76,289,Online
290,222,23,2025-04-14,1,9.96,290,Online
291,337,5,2025-04-06,4,16.88,291,Online
292,592,20,2025-05-17,5,153.65,292,In-store
293,714,23,2025-04-29,2,19.92,293,In-store
294,705,5,2025-04-28,2,8.44,294,In-store
295,764,12,2025-03-31,2,29.26,295,Online
296,211,14,2025-03-20,2,39.12,296,Online
297,396,16,2025-03-25,4,81.28,297,In-store
298,396,15,2025-04-21,5,238.9,298,Online
299,96,5,2025-04-26,4,16.88,299,In-store
300,843,24,2025-05-04,1,17.95,300,Online
301,262,20,2025-03-19,1,30.73,301,In-store
302,549,20,2025-03-22,4,122.92,302,Online
303,541,2,2025-03-25,3,93.3,303,Online
304,683,21,2025-04-25,2,57.98,304,In-store
305,710,0,2025-05-13,2,19.36,305,In-store
306,872,8,2025-04-22,5,180.95,306,In-store
307,60,6,2025-04-02,2,49.82,307,Online
308,104,0,2025-03-30,2,19.36,308,In-store
309,387,23,2025-05-08,2,19.92,309,Online
310,589,25,2025-03-30,5,85.0,310,Online
311,985,17,2025-04-02,2,4.4,311,Online
312,302,1,2025-03-21,4,10.0,312,Online
313,615,7,2025-04-27,3,76.83,313,In-store
314,529,20,2025-05-17,4,122.92,314,Online
315,821,3,2025-04-26,4,49.84,315,Online
316,136,20,2025-05-05,5,153.65,316,In-store
317,276,17,2025-05-11,5,11.0,317,In-store
318,948,25,2025-05-11,5,85.0,318,In-store
319,542,9,2025-04-06,3,97.11,319,In-store
320,678,10,2025-05-12,5,36.7,320,Online
321,901,1,2025-04-09,5,12.5,321,Online
322,357,7,2025-04-02,5,128.05,322,In-store
323,896,5,2025-04-23,2,8.44,323,Online
324,673,14,2025-05-14,2,39.12,324,In-store
325,520,5,2025-04-07,2,8.44,325,In-store
326,442,17,2025-03-31,4,8.8,326,Online
327,726,16,2025-04-01,5,101.6,327,Online
328,715,0,2025-05-01,4,38.72,328,In-store
329,37,11,2025-04-14,1,15.4,329,In-store
330,78,4,2025-04-30,1,12.08,330,Online
331,264,15,2025-04-21,5,238.9,331,In-store
332,673,19,2025-05-16,3,5.94,332,Online
333,250,0,2025-04-13,1,9.68,333,In-store
334,467,2,2025-04-24,3,93.3,334,In-store
335,726,25,2025-04-15,3,51.0,335,In-store
336,698,15,2025-04-03,2,95.56,336,In-store
337,447,0,2025-03-28,1,9.68,337,In-store
338,670,9,2025-05-01,5,161.85,338,Online
339,883,24,2025-04-25,3,53.85,339,In-store
340,63,25,2025-04-26,3,51.0,340,In-store
341,103,13,2025-05-17,1,2.82,341,Online
342,378,19,2025-04-06,2,3.96,342,In-store
343,557,2,2025-04-29,4,124.4,343,Online
344,369,18,2025-03-19,2,18.92,344,Online
345,462,23,2025-05-08,1,9.96,345,Online
346,131,19,2025-04-22,5,9.9,346,Online
347,647,6,2025-03-21,1,24.91,347,Online
348,334,4,2025-05-07,3,36.24,348,In-store
349,914,0,2025-03-27,5,48.4,349,Online
350,792,14,2025-04-04,5,97.8,350,Online
351,623,13,2025-04-05,2,5.64,351,Online
352,237,18,2025-04-14,5,47.3,352,In-store
353,448,17,2025-04-17,5,11.0,353,Online
354,238,24,2025-05-08,3,53.85,354,In-store
355,802,20,2025-04-06,1,30.73,355,In-store
356,47,4,2025-04-16,1,12.08,356,Online
357,410,23,2025-05-06,4,39.84,357,In-store
358,340,5,2025-03-29,5,21.1,358,Online
359,593,16,2025-04-21,2,40.64,359,Online
360,526,0,2025-05-13,5,48.4,360,In-store
361,423,16,2025-04-10,1,20.32,361,In-store
362,812,21,2025-05-14,5,144.95,362,Online
363,536,1,2025-03-26,3,7.5,363,In-store
364,730,22,2025-04-07,4,66.48,364,Online
365,213,23,2025-05-08,4,39.84,365,In-store
366,499,0,2025-05-06,3,29.04,366,Online
367,520,0,2025-04-30,1,9.68,367,Online
368,492,11,2025-05-17,1,15.4,368,In-store
369,832,3,2025-05-10,3,37.38,369,In-store
370,648,13,2025-03-19,3,8.46,370,In-store
371,777,23,2025-05-02,3,29.88,371,In-store
372,771,23,2025-05-03,3,29.88,372,In-store
373,374,18,2025-04-02,2,18.92,373,In-store
374,297,1,2025-03-27,4,10.0,374,Online
375,339,7,2025-04-21,4,102.44,375,In-store
376,322,21,2025-04-22,1,28.99,376,In-store
377,360,16,2025-05-02,2,40.64,377,Online
378,470,14,2025-03-28,2,39.12,378,In-store
379,414,15,2025-03-24,5,238.9,379,In-store
380,590,13,2025-05-11,5,14.1,380,Online
381,935,2,2025-04-17,1,31.1,381,In-store
382,989,1,2025-04-17,3,7.5,382,Online
383,621,8,2025-05-06,4,144.76,383,Online
384,826,14,2025-03-22,2,39.12,384,In-store
385,521,23,2025-03-30,1,9.96,385,Online
386,726,7,2025-04-20,1,25.61,386,Online
387,784,23,2025-04-26,3,29.88,387,In-store
388,587,19,2025-04-17,2,3.96,388,Online
389,323,1,2025-03-19,3,7.5,389,Online
390,289,15,2025-04-30,4,191.12,390,In-store
391,838,12,2025-04-15,2,29.26,391,Online
392,136,23,2025-04-17,1,9.96,392,In-store
393,867,17,2025-05-15,2,4.4,393,In-store
394,370,3,2025-05-16,1,12.46,394,Online
395,547,4,2025-04-19,1,12.08,395,In-store
396,761,4,2025-05-13,1,12.08,396,Online
397,999,6,2025-05-01,1,24.91,397,Online
398,91,17,2025-04-13,4,8.8,398,Online
399,27,22,2025-04-03,4,66.48,399,Online
400,6,3,2025-04-17,5,62.3,400,Online
401,117,5,2025-04-14,4,16.88,401,Online
402,347,23,2025-05-04,3,29.88,402,Online
403,176,19,2025-05-17,2,3.96,403,Online
404,409,18,2025-04-05,2,18.92,404,In-store
405,964,12,2025-03-30,1,14.63,405,In-store
406,406,16,2025-03-18,1,20.32,406,In-store
407,366,22,2025-04-30,1,16.62,407,In-store
408,407,0,2025-04-28,4,38.72,408,In-store
409,22,23,2025-04-06,5,49.8,409,In-store
410,367,5,2025-05-11,4,16.88,410,Online
411,26,19,2025-04-02,4,7.92,411,In-store
412,965,12,2025-03-24,4,58.52,412,In-store
413,662,24,2025-05-07,2,35.9,413,Online
414,787,21,2025-05-09,3,86.97,414,In-store
415,328,9,2025-04-16,3,97.11,415,In-store
416,201,7,2025-04-29,1,25.61,416,In-store
417,301,13,2025-04-19,3,8.46,417,In-store
418,408,8,2025-04-13,4,144.76,418,In-store
419,319,0,2025-05-05,4,38.72,419,In-store
420,942,0,2025-03-18,3,29.04,420,In-store
421,99,19,2025-04-02,4,7.92,421,Online
422,327,20,2025-04-26,2,61.46,422,Online
423,71,16,2025-03-28,3,60.96,423,In-store
424,160,9,2025-04-20,1,32.37,424,Online
425,354,17,2025-04-07,4,8.8,425,Online
426,913,1,2025-04-02,4,10.0,426,Online
427,950,1,2025-04-15,1,2.5,427,Online
428,228,15,2025-03-25,3,143.34,428,In-store
429,837,16,2025-04-16,3,60.96,429,Online
430,271,8,2025-04-23,2,72.38,430,In-store
431,89,0,2025-03-31,4,38.72,431,In-store
432,87,16,2025-03-31,5,101.6,432,In-store
433,642,13,2025-04-08,2,5.64,433,In-store
434,79,14,2025-04-10,2,39.12,434,In-store
435,519,2,2025-04-29,1,31.1,435,Online
436,356,9,2025-05-14,4,129.48,436,Online
437,27,21,2025-04-15,3,86.97,437,Online
438,227,7,2025-04-30,1,25.61,438,In-store
439,65,25,2025-04-10,4,68.0,439,Online
440,116,3,2025-05-16,3,37.38,440,In-store
441,152,0,2025-05-15,4,38.72,441,In-store
442,625,21,2025-04-06,3,86.97,442,In-store
443,27,11,2025-03-29,4,61.6,443,Online
444,310,24,2025-05-01,2,35.9,444,Online
445,122,24,2025-04-08,4,71.8,445,Online
446,914,22,2025-04-20,3,49.86,446,Online
447,632,8,2025-03-24,4,144.76,447,Online
448,843,24,2025-05-09,2,35.9,448,Online
449,949,22,2025-04-25,5,83.1,449,Online
450,981,25,2025-04-17,5,85.0,450,Online
451,778,9,2025-03-25,4,129.48,451,In-store
452,259,13,2025-03-25,2,5.64,452,Online
453,508,19,2025-04-23,4,7.92,453,Online
454,237,0,2025-04-25,5,48.4,454,Online
455,195,23,2025-05-03,4,39.84,455,In-store
456,293,1,2025-04-22,2,5.0,456,Online
457,966,23,2025-03-18,3,29.88,457,Online
458,680,16,2025-04-27,4,81.28,458,Online
459,353,10,2025-04-16,5,36.7,459,Online
460,750,13,2025-05-08,5,14.1,460,Online
461,115,1,2025-04-29,1,2.5,461,Online
462,703,1,2025-05-03,5,12.5,462,In-store
463,761,12,2025-03-22,2,29.26,463,Online
464,786,20,2025-05-10,5,153.65,464,Online
465,909,6,2025-04-07,1,24.91,465,Online
466,529,20,2025-04-01,5,153.65,466,Online
467,308,24,2025-03-26,4,71.8,467,In-store
468,190,18,2025-04-15,5,47.3,468,In-store
469,474,5,2025-04-19,2,8.44,469,Online
470,847,6,2025-05-12,2,49.82,470,Online
471,268,22,2025-03-21,3,49.86,471,In-store
472,538,10,2025-04-15,3,22.02,472,In-store
473,894,23,2025-04-12,2,19.92,473,Online
474,699,22,2025-04-26,3,49.86,474,In-store
475,902,22,2025-03-23,2,33.24,475,In-store
476,627,11,2025-05-14,3,46.2,476,In-store
477,475,21,2025-05-17,4,115.96,477,In-store
478,456,17,2025-04-14,1,2.2,478,In-store
479,76,19,2025-04-27,4,7.92,479,Online
480,648,12,2025-04-02,4,58.52,480,In-store
481,793,12,2025-04-09,2,29.26,481,In-store
482,803,9,2025-04-15,1,32.37,482,In-store
483,388,5,2025-04-14,1,4.22,483,Online
484,606,8,2025-04-07,2,72.38,484,In-store
485,681,10,2025-05-15,1,7.34,485,Online
486,228,0,2025-03-31,2,19.36,486,Online
487,72,18,2025-04-19,5,47.3,487,In-store
488,505,10,2025-04-09,1,7.34,488,Online
489,619,3,2025-05-06,1,12.46,489,In-store
490,154,25,2025-04-25,4,68.0,490,Online
491,709,15,2025-05-12,4,191.12,491,Online
492,171,19,2025-04-30,2,3.96,492,In-store
493,316,15,2025-05-16,5,238.9,493,Online
494,949,20,2025-03-27,4,122.92,494,In-store
495,503,23,2025-05-16,2,19.92,495,Online
496,328,9,2025-03-31,4,129.48,496,Online
497,173,7,2025-03-24,3,76.83,497,Online
498,152,6,2025-05-17,4,99.64,498,Online
499,748,16,2025-05-04,5,101.6,499,In-store
500,139,20,2025-05-09,3,92.19,500,In-store
501,846,4,2025-05-04,1,12.08,501,In-store
502,699,11,2025-04-09,1,15.4,502,Online
503,399,3,2025-04-05,4,49.84,503,Online
504,547,8,2025-05-08,3,108.57,504,Online
505,114,23,2025-05-06,4,39.84,505,In-store
506,305,15,2025-04-05,5,238.9,506,Online
507,910,2,2025-04-22,5,155.5,507,Online
508,80,20,2025-04-30,5,153.65,508,In-store
509,544,7,2025-04-06,2,51.22,509,Online
510,348,2,2025-04-17,2,62.2,510,In-store
511,903,13,2025-03-23,2,5.64,511,In-store
512,77,15,2025-04-03,4,191.12,512,Online
513,639,20,2025-05-17,4,122.92,513,Online
514,894,22,2025-05-03,5,83.1,514,Online
515,986,18,2025-04-18,2,18.92,515,Online
516,434,15,2025-05-01,4,191.12,516,Online
517,448,17,2025-04-30,4,8.8,517,Online
518,460,10,2025-04-28,1,7.34,518,Online
519,333,5,2025-04-16,1,4.22,519,In-store
520,674,14,2025-05-06,4,78.24,520,Online
521,642,16,2025-04-14,3,60.96,521,In-store
522,481,14,2025-04-22,2,39.12,522,Online
523,115,24,2025-03-30,3,53.85,523,Online
524,92,3,2025-04-16,1,12.46,524,In-store
525,897,2,2025-04-27,4,124.4,525,In-store
526,20,8,2025-03-19,5,180.95,526,Online
527,469,24,2025-04-06,2,35.9,527,Online
528,447,24,2025-05-12,3,53.85,528,In-store
529,248,2,2025-04-05,2,62.2,529,In-store
530,893,21,2025-05-15,3,86.97,530,In-store
531,312,11,2025-04-27,1,15.4,531,Online
532,931,1,2025-05-09,4,10.0,532,Online
533,395,2,2025-04-18,4,124.4,533,Online
534,801,17,2025-04-29,5,11.0,534,Online
535,987,4,2025-03-20,4,48.32,535,In-store
536,346,13,2025-04-09,5,14.1,536,In-store
537,72,13,2025-04-30,1,2.82,537,In-store
538,894,13,2025-03-21,2,5.64,538,In-store
539,770,23,2025-04-11,1,9.96,539,Online
540,667,9,2025-05-04,5,161.85,540,In-store
541,221,14,2025-04-10,2,39.12,541,Online
542,789,12,2025-04-28,2,29.26,542,Online
543,170,1,2025-05-13,4,10.0,543,Online
544,911,20,2025-03-19,1,30.73,544,Online
545,294,3,2025-04-23,4,49.84,545,Online
546,592,9,2025-05-16,2,64.74,546,Online
547,77,20,2025-04-21,3,92.19,547,In-store
548,358,24,2025-03-25,4,71.8,548,Online
549,742,17,2025-03-27,2,4.4,549,In-store
550,457,6,2025-05-16,5,124.55,550,In-store
551,297,12,2025-03-20,3,43.89,551,In-store
552,667,8,2025-05-05,5,180.95,552,Online
553,763,1,2025-04-27,2,5.0,553,Online
554,893,8,2025-04-18,3,108.57,554,In-store
555,943,20,2025-05-13,3,92.19,555,Online
556,133,24,2025-04-21,4,71.8,556,Online
557,586,14,2025-05-17,2,39.12,557,In-store
558,348,1,2025-03-18,3,7.5,558,Online
559,267,7,2025-05-06,4,102.44,559,Online
560,644,15,2025-04-29,5,238.9,560,In-store
561,929,17,2025-05-13,1,2.2,561,In-store
562,170,11,2025-03-18,1,15.4,562,In-store
563,473,1,2025-04-25,4,10.0,563,In-store
564,244,12,2025-05-16,5,73.15,564,In-store
565,31,12,2025-04-11,1,14.63,565,Online
566,90,6,2025-04-25,3,74.73,566,Online
567,80,4,2025-03-19,1,12.08,567,Online
568,77,15,2025-05-04,5,238.9,568,Online
