payment_id,payment_date,payment_time,amount,payment_method,card_type,issuer_country,payment_channel,avs_response,cvv_response,three_ds_response,auth_response,merchant_name
38,2025-04-21,12:00:47,9.46,Card,Debit,NG,Web,Y,N,N,Declined,Merchant_36
39,2025-04-13,12:00:47,53.85,Card,Debit,NG,Web,N,N,Y,Declined,Merchant_40
40,2025-04-03,12:00:47,31.1,Card,Debit,US,Mobile App,U,M,N,Approved,Merchant_9
41,2025-05-17,12:00:47,115.96,Mobile Money,Debit,US,POS,Y,M,N,Approved,Merchant_46
42,2025-04-28,12:00:47,129.48,Mobile Money,Debit,US,Web,N,M,N,Declined,Merchant_16
43,2025-05-11,12:00:47,9.46,Cash,Credit,US,Mobile App,U,M,Y,Approved,Merchant_5
44,2025-04-03,12:00:47,19.92,Card,Credit,US,Mobile App,Y,M,Y,Declined,Merchant_11
45,2025-04-10,12:00:47,101.6,Mobile Money,Debit,UK,Web,N,M,N,Declined,Merchant_9
46,2025-04-06,12:00:47,101.6,Mobile Money,Debit,US,Web,N,N,N,Approved,Merchant_44
47,2025-05-02,12:00:47,49.86,Card,Debit,UK,Web,U,N,Y,Approved,Merchant_22
48,2025-05-08,12:00:47,10.0,Mobile Money,Credit,UK,Web,Y,M,Y,Approved,Merchant_35
49,2025-03-30,12:00:47,129.48,Mobile Money,Credit,NG,Web,U,M,N,Declined,Merchant_22
50,2025-04-05,12:00:47,17.0,Mobile Money,Debit,NG,Web,N,N,Y,Declined,Merchant_33
51,2025-05-10,12:00:47,12.08,Card,Credit,NG,Web,Y,N,N,Approved,Merchant_35
52,2025-05-12,12:00:47,5.64,Mobile Money,Credit,NG,Web,U,M,Y,Declined,Merchant_5
53,2025-05-07,12:00:47,8.44,Mobile Money,Debit,UK,POS,Y,M,Y,Declined,Merchant_6
54,2025-04-09,12:00:47,32.37,Mobile Money,Debit,UK,Web,U,N,Y,Declined,Merchant_18
55,2025-04-01,12:00:47,31.1,Mobile Money,Debit,US,Web,N,M,N,Approved,Merchant_47
56,2025-04-07,12:00:47,40.64,Card,Debit,UK,Web,U,N,N,Approved,Merchant_9
57,2025-04-15,12:00:47,8.8,Card,Credit,US,Web,U,M,N,Approved,Merchant_10
58,2025-04-05,12:00:47,68.0,Mobile Money,Credit,NG,Web,U,N,Y,Approved,Merchant_24
59,2025-05-12,12:00:47,48.4,Mobile Money,Credit,NG,Web,U,N,N,Approved,Merchant_43
60,2025-05-06,12:00:47,5.0,Mobile Money,Credit,US,Web,U,N,Y,Declined,Merchant_43
61,2025-03-31,12:00:47,6.6,Mobile Money,Credit,UK,Mobile App,U,N,Y,Declined,Merchant_12
62,2025-03-30,12:00:47,21.1,Card,Credit,UK,Web,N,M,N,Declined,Merchant_28
63,2025-03-27,12:00:47,7.92,Mobile Money,Credit,UK,Web,Y,M,N,Approved,Merchant_15
64,2025-05-03,12:00:47,32.37,Mobile Money,Credit,UK,Mobile App,U,N,Y,Approved,Merchant_35
65,2025-04-01,12:00:47,51.22,Cash,Debit,UK,Mobile App,U,N,N,Declined,Merchant_22
66,2025-05-10,12:00:47,64.74,Cash,Credit,UK,Mobile App,Y,M,N,Declined,Merchant_16
67,2025-04-25,12:00:47,14.68,Card,Credit,US,Web,N,N,Y,Approved,Merchant_11
68,2025-04-05,12:00:47,3.96,Mobile Money,Credit,US,Web,U,M,Y,Approved,Merchant_39
69,2025-03-21,12:00:47,144.76,Cash,Credit,US,POS,N,N,N,Approved,Merchant_15
70,2025-04-17,12:00:47,28.99,Mobile Money,Credit,NG,Web,Y,M,N,Approved,Merchant_19
71,2025-05-01,12:00:47,29.88,Mobile Money,Debit,UK,POS,Y,M,Y,Approved,Merchant_43
72,2025-05-01,12:00:47,36.7,Card,Credit,UK,Web,N,N,N,Approved,Merchant_14
73,2025-05-12,12:00:47,5.64,Mobile Money,Credit,US,Web,Y,M,N,Approved,Merchant_19
74,2025-05-07,12:00:47,30.73,Mobile Money,Debit,US,Web,U,M,Y,Approved,Merchant_14
75,2025-05-17,12:00:47,37.38,Card,Debit,NG,Web,U,N,Y,Declined,Merchant_43
76,2025-03-19,12:00:47,12.66,Card,Debit,US,Mobile App,N,M,N,Approved,Merchant_36
77,2025-03-30,12:00:47,24.91,Card,Debit,UK,POS,U,M,N,Declined,Merchant_37
78,2025-04-30,12:00:47,12.46,Card,Credit,UK,Web,Y,M,Y,Declined,Merchant_17
79,2025-05-14,12:00:47,62.2,Mobile Money,Credit,US,POS,Y,N,N,Approved,Merchant_25
80,2025-04-06,12:00:47,2.5,Mobile Money,Debit,US,POS,N,M,Y,Approved,Merchant_10
81,2025-04-06,12:00:47,46.2,Card,Credit,US,Web,N,N,N,Declined,Merchant_22
82,2025-04-14,12:00:47,36.19,Mobile Money,Credit,US,Web,N,M,N,Approved,Merchant_19
83,2025-03-25,12:00:47,9.68,Card,Credit,UK,Web,U,N,Y,Approved,Merchant_16
84,2025-04-24,12:00:47,49.82,Mobile Money,Debit,UK,Web,U,M,N,Declined,Merchant_43
85,2025-03-18,12:00:47,32.37,Card,Credit,NG,Web,N,M,N,Approved,Merchant_27
86,2025-03-24,12:00:47,60.96,Card,Debit,NG,Web,N,M,N,Declined,Merchant_31
87,2025-04-23,12:00:47,39.84,Card,Debit,US,Web,Y,M,N,Declined,Merchant_12
88,2025-05-05,12:00:47,108.57,Card,Credit,UK,Web,N,N,Y,Declined,Merchant_38
89,2025-04-09,12:00:47,25.61,Mobile Money,Credit,US,POS,U,M,N,Declined,Merchant_39
90,2025-03-21,12:00:47,8.44,Card,Credit,US,Web,N,N,N,Declined,Merchant_10
91,2025-04-30,12:00:47,14.68,Card,Credit,UK,Mobile App,N,N,N,Approved,Merchant_6
92,2025-04-01,12:00:47,17.0,Cash,Debit,US,POS,U,M,N,Approved,Merchant_19
93,2025-03-28,12:00:47,47.78,Card,Debit,UK,Mobile App,Y,N,N,Approved,Merchant_25
94,2025-03-31,12:00:47,19.56,Mobile Money,Credit,US,Web,U,M,N,Declined,Merchant_27
95,2025-04-23,12:00:47,22.02,Cash,Credit,UK,Mobile App,Y,M,N,Declined,Merchant_44
96,2025-03-24,12:00:47,9.9,Mobile Money,Debit,UK,Mobile App,Y,N,N,Declined,Merchant_35
97,2025-05-08,12:00:47,5.94,Card,Debit,UK,Web,N,M,Y,Approved,Merchant_31
98,2025-05-07,12:00:47,36.7,Cash,Debit,UK,Mobile App,N,N,N,Declined,Merchant_10
99,2025-04-03,12:00:47,144.76,Mobile Money,Credit,US,Web,N,M,Y,Approved,Merchant_30
100,2025-04-28,12:00:47,73.15,Cash,Debit,UK,Mobile App,U,N,N,Approved,Merchant_22
101,2025-03-27,12:00:47,102.44,Mobile Money,Credit,US,POS,N,M,Y,Declined,Merchant_31
102,2025-03-26,12:00:47,9.96,Cash,Debit,US,Mobile App,Y,M,N,Approved,Merchant_13
103,2025-05-14,12:00:47,9.9,Card,Credit,UK,Web,N,N,Y,Approved,Merchant_47
104,2025-03-21,12:00:47,19.36,Mobile Money,Debit,US,Web,N,N,N,Declined,Merchant_3
105,2025-04-27,12:00:47,21.1,Card,Debit,UK,Web,U,M,N,Declined,Merchant_13
106,2025-05-12,12:00:47,6.6,Card,Credit,US,Web,Y,N,N,Declined,Merchant_28
107,2025-04-12,12:00:47,62.2,Card,Credit,US,Web,U,N,Y,Approved,Merchant_34
108,2025-04-16,12:00:47,37.84,Card,Credit,NG,Web,N,N,N,Approved,Merchant_16
109,2025-05-01,12:00:47,31.1,Card,Credit,UK,POS,U,M,Y,Declined,Merchant_35
110,2025-05-07,12:00:47,29.36,Card,Credit,US,Mobile App,N,M,Y,Approved,Merchant_31
111,2025-03-28,12:00:47,81.28,Card,Debit,NG,Web,Y,M,Y,Approved,Merchant_48
112,2025-04-26,12:00:47,40.64,Cash,Credit,UK,Mobile App,N,M,Y,Declined,Merchant_26
113,2025-04-01,12:00:47,35.9,Mobile Money,Debit,NG,Web,U,N,N,Declined,Merchant_37
114,2025-05-04,12:00:47,95.56,Mobile Money,Debit,UK,Web,Y,N,Y,Approved,Merchant_9
115,2025-03-29,12:00:47,7.34,Card,Debit,NG,Web,U,M,N,Declined,Merchant_2
116,2025-05-16,12:00:47,36.7,Cash,Credit,UK,Mobile App,Y,M,Y,Approved,Merchant_43
117,2025-04-09,12:00:47,7.5,Mobile Money,Debit,NG,Web,N,M,N,Declined,Merchant_36
118,2025-03-20,12:00:47,95.56,Card,Debit,US,Web,Y,M,N,Approved,Merchant_35
119,2025-04-12,12:00:47,49.86,Mobile Money,Credit,NG,Mobile App,N,N,Y,Declined,Merchant_19
120,2025-03-30,12:00:47,9.68,Mobile Money,Debit,NG,Web,Y,M,Y,Declined,Merchant_5
121,2025-05-05,12:00:47,2.5,Cash,Credit,NG,Mobile App,N,M,N,Approved,Merchant_50
122,2025-04-10,12:00:47,30.73,Mobile Money,Debit,US,POS,U,N,Y,Approved,Merchant_29
123,2025-03-19,12:00:47,2.82,Mobile Money,Debit,UK,Web,U,M,Y,Declined,Merchant_40
124,2025-04-24,12:00:47,93.3,Mobile Money,Debit,US,Web,Y,N,Y,Declined,Merchant_10
125,2025-03-23,12:00:47,18.92,Card,Credit,NG,Web,U,M,Y,Approved,Merchant_48
126,2025-04-02,12:00:47,33.24,Cash,Credit,US,Mobile App,Y,M,Y,Declined,Merchant_18
127,2025-05-16,12:00:47,73.15,Cash,Debit,NG,Mobile App,U,M,N,Declined,Merchant_3
128,2025-04-03,12:00:47,46.2,Card,Credit,NG,Mobile App,N,M,N,Declined,Merchant_27
129,2025-04-13,12:00:47,58.52,Card,Debit,UK,Web,Y,N,Y,Declined,Merchant_15
130,2025-04-09,12:00:47,32.37,Mobile Money,Credit,UK,POS,Y,M,N,Declined,Merchant_3
131,2025-05-12,12:00:47,129.48,Card,Credit,NG,Web,Y,N,N,Declined,Merchant_3
132,2025-03-27,12:00:47,31.1,Mobile Money,Debit,US,Web,Y,N,N,Approved,Merchant_45
133,2025-05-12,12:00:47,12.5,Card,Debit,NG,Web,N,M,Y,Declined,Merchant_37
134,2025-05-03,12:00:47,2.2,Cash,Credit,UK,POS,N,M,N,Declined,Merchant_5
135,2025-05-05,12:00:47,8.8,Card,Debit,UK,Web,Y,M,N,Declined,Merchant_39
136,2025-05-11,12:00:47,11.0,Mobile Money,Credit,NG,Mobile App,U,N,N,Approved,Merchant_28
137,2025-05-15,12:00:47,8.8,Card,Debit,NG,Mobile App,Y,M,N,Declined,Merchant_15
138,2025-03-26,12:00:47,9.96,Cash,Credit,US,Mobile App,Y,M,Y,Approved,Merchant_11
139,2025-04-19,12:00:47,115.96,Card,Debit,UK,Web,U,N,Y,Approved,Merchant_27
140,2025-04-01,12:00:47,49.82,Card,Credit,US,Mobile App,U,N,Y,Declined,Merchant_16
141,2025-05-11,12:00:47,53.85,Mobile Money,Credit,UK,Web,U,N,Y,Approved,Merchant_7
142,2025-04-04,12:00:47,30.8,Cash,Debit,UK,POS,N,M,Y,Approved,Merchant_22
143,2025-04-18,12:00:47,76.83,Cash,Credit,US,Mobile App,Y,M,Y,Declined,Merchant_15
144,2025-03-24,12:00:47,3.96,Card,Credit,UK,Mobile App,N,M,N,Approved,Merchant_7
145,2025-05-02,12:00:47,61.46,Cash,Debit,NG,POS,U,M,Y,Declined,Merchant_33
146,2025-04-25,12:00:47,38.72,Cash,Credit,NG,Mobile App,Y,N,N,Approved,Merchant_10
147,2025-04-29,12:00:47,129.48,Card,Credit,US,Mobile App,U,N,N,Declined,Merchant_35
148,2025-04-02,12:00:47,122.92,Card,Credit,US,Web,Y,N,Y,Declined,Merchant_34
149,2025-03-19,12:00:47,4.4,Card,Credit,UK,Web,U,M,Y,Declined,Merchant_41
150,2025-05-02,12:00:47,29.26,Mobile Money,Credit,NG,POS,U,N,Y,Declined,Merchant_38
151,2025-05-07,12:00:47,25.61,Mobile Money,Credit,UK,Web,Y,N,Y,Approved,Merchant_34
152,2025-05-01,12:00:47,3.96,Mobile Money,Debit,UK,Web,U,N,Y,Approved,Merchant_30
153,2025-04-05,12:00:47,71.8,Card,Credit,NG,Web,U,M,Y,Approved,Merchant_49
154,2025-05-13,12:00:47,12.08,Mobile Money,Credit,UK,Web,N,M,Y,Declined,Merchant_19
155,2025-05-05,12:00:47,25.61,Mobile Money,Credit,US,Web,N,N,N,Approved,Merchant_12
156,2025-05-15,12:00:47,39.84,Card,Credit,UK,POS,Y,N,N,Declined,Merchant_7
157,2025-04-08,12:00:47,37.84,Card,Credit,NG,Web,U,N,Y,Declined,Merchant_38
158,2025-04-11,12:00:47,97.8,Card,Debit,US,Web,Y,N,N,Declined,Merchant_18
159,2025-05-07,12:00:47,71.8,Cash,Credit,NG,Mobile App,Y,N,N,Approved,Merchant_44
160,2025-04-16,12:00:47,14.68,Cash,Debit,NG,POS,U,N,Y,Declined,Merchant_24
161,2025-04-21,12:00:47,77.0,Card,Credit,US,Web,Y,N,Y,Declined,Merchant_23
162,2025-04-19,12:00:47,93.3,Mobile Money,Credit,UK,POS,U,N,N,Approved,Merchant_10
163,2025-04-14,12:00:47,115.96,Mobile Money,Credit,NG,Web,U,N,Y,Approved,Merchant_28
164,2025-04-09,12:00:47,15.4,Mobile Money,Debit,UK,Web,U,N,Y,Approved,Merchant_24
165,2025-03-25,12:00:47,74.73,Card,Credit,NG,Web,U,N,N,Declined,Merchant_41
166,2025-05-02,12:00:47,9.9,Cash,Debit,US,Mobile App,U,N,Y,Approved,Merchant_6
167,2025-04-14,12:00:47,17.0,Mobile Money,Credit,NG,Web,N,M,Y,Approved,Merchant_16
168,2025-03-21,12:00:47,29.04,Cash,Debit,UK,POS,U,M,N,Declined,Merchant_33
169,2025-05-06,12:00:47,49.8,Cash,Credit,US,Mobile App,N,N,Y,Approved,Merchant_25
170,2025-04-05,12:00:47,64.74,Mobile Money,Credit,NG,Mobile App,N,M,N,Approved,Merchant_26
171,2025-05-09,12:00:47,28.38,Cash,Credit,NG,Mobile App,Y,N,N,Declined,Merchant_2
172,2025-04-12,12:00:47,68.0,Mobile Money,Debit,UK,Web,N,N,Y,Approved,Merchant_10
173,2025-04-10,12:00:47,71.8,Mobile Money,Credit,US,Web,Y,M,N,Approved,Merchant_44
174,2025-04-08,12:00:47,72.38,Mobile Money,Debit,UK,Web,N,N,Y,Declined,Merchant_15
175,2025-04-09,12:00:47,64.74,Card,Credit,NG,Web,Y,M,Y,Approved,Merchant_16
176,2025-04-22,12:00:47,5.94,Mobile Money,Credit,UK,Mobile App,Y,N,Y,Approved,Merchant_1
177,2025-04-11,12:00:47,24.91,Card,Debit,UK,Web,Y,M,Y,Approved,Merchant_11
178,2025-05-02,12:00:47,39.84,Card,Debit,UK,Web,Y,N,Y,Declined,Merchant_17
179,2025-03-29,12:00:47,108.57,Mobile Money,Debit,UK,POS,Y,M,N,Declined,Merchant_38
180,2025-04-02,12:00:47,161.85,Card,Debit,NG,Web,N,N,Y,Approved,Merchant_7
181,2025-04-18,12:00:47,3.96,Card,Credit,NG,Web,N,M,Y,Declined,Merchant_29
182,2025-04-22,12:00:47,7.5,Card,Debit,UK,POS,U,M,Y,Approved,Merchant_13
183,2025-04-17,12:00:47,58.52,Card,Credit,UK,Web,N,M,Y,Approved,Merchant_19
184,2025-03-22,12:00:47,101.6,Cash,Debit,US,POS,Y,N,Y,Declined,Merchant_14
185,2025-04-03,12:00:47,97.11,Mobile Money,Debit,NG,Web,Y,M,Y,Declined,Merchant_33
186,2025-03-29,12:00:47,99.64,Cash,Debit,UK,POS,N,M,Y,Approved,Merchant_39
187,2025-03-28,12:00:47,36.7,Mobile Money,Credit,US,POS,Y,N,Y,Approved,Merchant_43
188,2025-03-25,12:00:47,191.12,Mobile Money,Debit,US,Web,Y,M,N,Declined,Merchant_17
189,2025-04-10,12:00:47,14.63,Card,Debit,UK,Mobile App,U,N,Y,Approved,Merchant_48
190,2025-04-13,12:00:47,77.0,Mobile Money,Debit,NG,Web,U,M,Y,Declined,Merchant_34
191,2025-03-31,12:00:47,191.12,Cash,Credit,NG,Mobile App,N,N,Y,Approved,Merchant_45
192,2025-04-18,12:00:47,30.8,Cash,Debit,UK,Mobile App,U,M,N,Declined,Merchant_49
193,2025-05-10,12:00:47,48.32,Mobile Money,Debit,NG,Web,N,M,N,Approved,Merchant_26
194,2025-04-29,12:00:47,24.16,Cash,Debit,NG,Mobile App,N,N,Y,Declined,Merchant_40
195,2025-05-13,12:00:47,95.56,Card,Debit,UK,Web,U,M,Y,Declined,Merchant_17
196,2025-05-08,12:00:47,77.0,Card,Debit,US,Web,U,M,Y,Approved,Merchant_40
197,2025-03-24,12:00:47,86.97,Card,Credit,UK,Web,Y,M,N,Approved,Merchant_37
198,2025-03-28,12:00:47,78.24,Card,Debit,NG,Web,N,M,Y,Approved,Merchant_28
199,2025-05-07,12:00:47,28.38,Cash,Debit,NG,POS,U,N,N,Approved,Merchant_3
200,2025-04-11,12:00:47,143.34,Card,Credit,UK,Web,Y,N,N,Approved,Merchant_33
201,2025-04-02,12:00:47,49.84,Cash,Credit,NG,Mobile App,U,N,N,Declined,Merchant_15
202,2025-04-09,12:00:47,83.1,Mobile Money,Credit,UK,Mobile App,U,N,Y,Approved,Merchant_17
203,2025-03-20,12:00:47,143.34,Mobile Money,Debit,US,POS,N,N,Y,Approved,Merchant_46
204,2025-04-30,12:00:47,24.91,Mobile Money,Debit,NG,POS,U,N,Y,Approved,Merchant_23
205,2025-04-18,12:00:47,73.15,Card,Credit,UK,Mobile App,Y,M,N,Declined,Merchant_34
206,2025-04-14,12:00:47,7.34,Mobile Money,Credit,UK,Web,N,N,Y,Approved,Merchant_12
207,2025-05-14,12:00:47,7.34,Mobile Money,Debit,NG,Web,Y,N,Y,Declined,Merchant_6
208,2025-05-08,12:00:47,48.4,Mobile Money,Debit,US,Web,Y,M,Y,Declined,Merchant_7
209,2025-03-21,12:00:47,128.05,Mobile Money,Debit,NG,POS,U,M,Y,Declined,Merchant_42
210,2025-04-07,12:00:47,99.64,Card,Credit,UK,Mobile App,U,N,Y,Approved,Merchant_12
211,2025-04-09,12:00:47,144.76,Card,Credit,NG,Web,N,N,N,Declined,Merchant_1
212,2025-04-19,12:00:47,68.0,Mobile Money,Debit,UK,Mobile App,Y,M,N,Declined,Merchant_40
213,2025-05-15,12:00:47,36.19,Card,Debit,US,Web,N,N,Y,Approved,Merchant_36
214,2025-04-02,12:00:47,48.32,Mobile Money,Credit,US,Web,N,N,Y,Approved,Merchant_42
215,2025-04-12,12:00:47,57.98,Card,Credit,US,Web,N,M,N,Declined,Merchant_37
216,2025-04-17,12:00:47,180.95,Mobile Money,Debit,UK,Web,U,M,Y,Approved,Merchant_14
217,2025-04-06,12:00:47,115.96,Mobile Money,Debit,US,Web,U,N,Y,Declined,Merchant_9
218,2025-03-29,12:00:47,58.68,Card,Debit,UK,Mobile App,N,M,N,Declined,Merchant_29
219,2025-04-15,12:00:47,60.96,Card,Credit,UK,Web,N,N,N,Declined,Merchant_40
220,2025-03-24,12:00:47,25.61,Cash,Debit,NG,Mobile App,Y,N,N,Approved,Merchant_46
221,2025-04-21,12:00:47,19.36,Card,Debit,UK,Web,Y,M,N,Declined,Merchant_49
222,2025-04-24,12:00:47,40.64,Mobile Money,Debit,UK,Web,Y,M,N,Declined,Merchant_37
223,2025-04-11,12:00:47,3.96,Card,Debit,US,Web,N,M,N,Declined,Merchant_6
224,2025-05-01,12:00:47,11.0,Mobile Money,Credit,UK,Web,Y,N,Y,Approved,Merchant_31
225,2025-05-15,12:00:47,51.0,Card,Credit,UK,Mobile App,Y,N,N,Approved,Merchant_49
226,2025-04-22,12:00:47,4.22,Mobile Money,Credit,NG,Mobile App,N,N,Y,Approved,Merchant_14
227,2025-04-13,12:00:47,108.57,Card,Debit,UK,Mobile App,U,M,Y,Declined,Merchant_13
228,2025-05-04,12:00:47,20.32,Mobile Money,Credit,UK,Web,U,N,Y,Declined,Merchant_22
229,2025-04-12,12:00:47,29.26,Card,Credit,UK,POS,N,N,N,Approved,Merchant_15
230,2025-05-02,12:00:47,62.3,Mobile Money,Credit,US,Web,U,M,N,Declined,Merchant_47
231,2025-05-02,12:00:47,30.8,Mobile Money,Debit,US,Web,U,M,N,Declined,Merchant_21
232,2025-04-30,12:00:47,49.8,Mobile Money,Credit,UK,Web,Y,M,N,Declined,Merchant_9
233,2025-04-07,12:00:47,115.96,Mobile Money,Debit,UK,Web,Y,M,Y,Approved,Merchant_9
234,2025-04-03,12:00:47,238.9,Cash,Debit,UK,POS,Y,N,N,Declined,Merchant_42
235,2025-03-26,12:00:47,12.46,Mobile Money,Debit,NG,Web,U,M,N,Declined,Merchant_47
236,2025-05-02,12:00:47,33.24,Mobile Money,Debit,UK,Web,Y,M,N,Declined,Merchant_18
237,2025-04-10,12:00:47,12.46,Mobile Money,Debit,US,Mobile App,Y,N,N,Approved,Merchant_5
238,2025-03-29,12:00:47,4.22,Cash,Credit,US,Mobile App,U,N,N,Approved,Merchant_12
239,2025-05-15,12:00:47,76.83,Card,Credit,US,Web,U,N,N,Approved,Merchant_2
240,2025-05-02,12:00:47,36.19,Card,Credit,UK,Mobile App,N,N,N,Declined,Merchant_36
241,2025-05-15,12:00:47,19.56,Mobile Money,Credit,US,Web,U,N,N,Approved,Merchant_27
242,2025-05-11,12:00:47,16.88,Card,Credit,US,POS,U,M,Y,Declined,Merchant_24
243,2025-03-31,12:00:47,1.98,Card,Credit,UK,Web,U,M,N,Approved,Merchant_1
244,2025-04-16,12:00:47,47.78,Card,Debit,US,POS,N,N,N,Approved,Merchant_32
245,2025-04-13,12:00:47,9.96,Card,Credit,NG,POS,U,N,N,Approved,Merchant_15
246,2025-04-07,12:00:47,62.2,Card,Debit,US,Web,N,N,Y,Approved,Merchant_13
247,2025-04-10,12:00:47,17.95,Card,Debit,UK,Web,N,M,Y,Declined,Merchant_30
248,2025-05-02,12:00:47,19.36,Card,Credit,NG,Web,Y,N,Y,Declined,Merchant_42
249,2025-05-04,12:00:47,49.84,Card,Credit,US,Mobile App,N,N,Y,Approved,Merchant_27
250,2025-05-08,12:00:47,16.62,Cash,Credit,US,Mobile App,U,N,N,Approved,Merchant_8
251,2025-05-07,12:00:47,7.34,Mobile Money,Credit,NG,POS,U,N,Y,Approved,Merchant_36
252,2025-03-29,12:00:47,40.64,Mobile Money,Debit,UK,POS,Y,M,Y,Declined,Merchant_8
253,2025-04-14,12:00:47,49.86,Mobile Money,Debit,NG,POS,U,M,N,Declined,Merchant_24
254,2025-05-12,12:00:47,30.73,Mobile Money,Debit,UK,POS,Y,M,Y,Declined,Merchant_12
255,2025-03-29,12:00:47,9.96,Card,Credit,NG,Web,Y,M,N,Approved,Merchant_20
256,2025-03-22,12:00:47,34.0,Card,Credit,UK,Web,U,M,N,Declined,Merchant_21
257,2025-04-30,12:00:47,85.0,Mobile Money,Credit,NG,POS,N,N,N,Approved,Merchant_33
258,2025-04-30,12:00:47,60.96,Mobile Money,Credit,US,Web,U,N,Y,Declined,Merchant_21
259,2025-04-20,12:00:47,4.4,Mobile Money,Credit,US,Mobile App,Y,M,Y,Approved,Merchant_1
260,2025-04-26,12:00:47,8.44,Cash,Debit,US,POS,N,N,Y,Approved,Merchant_50
261,2025-03-19,12:00:47,17.95,Mobile Money,Debit,US,POS,Y,N,N,Approved,Merchant_45
262,2025-03-23,12:00:47,12.5,Card,Debit,UK,Web,N,N,Y,Declined,Merchant_14
263,2025-03-30,12:00:47,92.19,Card,Credit,NG,POS,N,N,N,Approved,Merchant_19
264,2025-05-11,12:00:47,71.8,Mobile Money,Debit,US,Web,N,N,Y,Approved,Merchant_23
265,2025-03-21,12:00:47,97.11,Card,Debit,NG,Web,U,N,N,Approved,Merchant_40
